1-2621	C6A1
3-4B45	FDD2
3-4B47	9A41
3-4B4B	9BB3
3-4B4D	9BB4
3-4B4F	835F
3-4B52	9BB7
3-4B57	9BC3
3-4B5B	9BBF
3-4B5D	8360
3-4B61	9BC9
3-4B65	87F2
3-4B66	9BC6
3-4B68	9BCB
3-4B70	9BCC
3-4B74	9BCF
3-4B75	8AAF
3-4B78	9BD1
3-4B79	8574
3-4B7A	9A55
3-4B7E	FEB4
3-4C22	9BD0
3-4C24	8D5F
3-4C27	9BD3
3-4C28	9BD2
3-4C2F	FE75
3-4C34	8852
3-4C39	9BD6
3-4C3A	8361
3-4C3D	86EC
3-4C41	8B62
3-4C41	9BDB
3-4C43	9BDE
3-4C44	9BD7
3-4C46	9BDD
3-4C49	8850
3-4C4A	8842
3-4C4D	9BE6
3-4C4F	9BE7
3-4C50	9BE8
3-4C51	9BEB
3-4C53	9BEE
3-4C56	9BE4
3-4C57	9BE3
3-4C5F	9D63
3-4C60	FDF2
3-4C64	9BE1
3-4C67	8363
3-4C69	86F9
3-4C6B	8364
3-4C6C	8559
3-4C6D	9BFE
3-4C6E	87F6
3-4C70	9C44
3-4C73	9BF5
3-4C75	9BF9
3-4C76	9BFB
3-4C78	9BF2
3-4C79	9BF6
3-4C7A	9BF3
3-4C7B	9BFA
3-4C7C	8AA2
3-4D21	8365
3-4D2A	9C4A
3-4D2C	8DE9
3-4D2E	9DAB
3-4D31	9C51
3-4D32	8972
3-4D35	9AC1
3-4D36	9C55
3-4D39	9C50
3-4D3B	9C57
3-4D3D	9ACC
3-4D40	9C5F
3-4D46	9C63
3-4D48	9C69
3-4D49	9C68
3-4D4B	9C64
3-4D4C	9C67
3-4D4D	9C6A
3-4D4F	9C6F
3-4D50	FE79
3-4D56	9C70
3-4D5B	847C
3-4D5C	9C76
3-4D5D	8369
3-4D6E	9C7A
3-4D70	8B49
3-4D75	85A7
3-4D78	9CA3
3-4D7C	9C7C
3-4E27	9CA2
3-4E29	9CA1
3-4E30	FE6A
3-4E36	FDE1
3-4E38	8BF0
3-4E3A	9CAB
3-4E3D	9CA9
3-4E40	87E7
3-4E44	9CB7
3-4E4B	836A
3-4E4E	9CAE
3-4E4F	9CB8
3-4E53	8AE9
3-4E56	8DB4
3-4E5B	9CBA
3-4E5D	FE4B
3-4E60	FDE0
3-4E64	8A50
3-4E67	8CC5
3-4E69	9CC1
3-4E6A	9CC0
3-4E6B	8CE0
3-4E70	8C47
3-4E74	9CBE
3-4E76	9CBD
3-4E78	9CC2
3-4E7A	9CC3
3-4E7C	8851
3-4E7D	9CC5
3-4E7E	9CC6
3-4F21	9CC7
3-4F22	9CC4
3-4F24	9CC9
3-4F25	9BAC
3-4F2B	9CCA
3-4F33	8CE8
3-4F36	9CCC
3-4F39	9A73
3-4F40	9CD0
3-4F43	9CD2
3-4F45	9CD5
3-4F47	9CDD
3-4F49	9CD4
3-4F4E	9CD7
3-4F52	9CD9
3-4F58	9CE2
3-4F5A	9CE1
3-4F5B	9CE3
3-4F5F	836B
3-4F61	8A70
3-4F63	9CE4
3-4F6B	9E69
3-4F70	836C
3-4F71	9CEA
3-4F73	9CE8
3-4F76	9CEC
3-4F79	8544
3-4F7C	9CEE
3-4F7D	836D
3-5021	836E
3-5027	9CF0
3-5029	9C47
3-502B	836F
3-502E	8542
3-502F	9CF1
3-5031	8CFD
3-5033	9CF3
3-5034	9CF4
3-5037	9CFB
3-503A	8370
3-503D	9D40
3-503F	9CFD
3-5048	9D43
3-504C	88A7
3-504E	8372
3-504F	9D45
3-5050	9D44
3-5051	8861
3-5052	8867
3-5054	86C7
3-5059	86B9
3-505B	89C1
3-505E	8BA3
3-5060	9D50
3-5063	9D53
3-5065	8AE4
3-5067	9D51
3-506A	8C66
3-5070	9D55
3-5071	9D56
3-5072	8373
3-5075	9D57
3-5077	9D58
3-5078	8DDB
3-507B	9BDA
3-507E	8374
3-5122	9D5D
3-5124	9CFC
3-5125	8C4B
3-5126	9D60
3-5127	9D65
3-5129	9D64
3-512B	9D6A
3-512C	8AAE
3-5130	9D70
3-5136	9D6E
3-513C	8378
3-513E	9D68
3-5140	8377
3-5145	9D76
3-5147	9CF6
3-514C	8BEA
3-5150	9D7B
3-5155	88C8
3-5155	9D79
3-5156	9D78
3-5158	8379
3-515A	89A1
3-515E	9DA5
3-5160	8DF3
3-5163	837A
3-516A	8950
3-516C	9DB1
3-516E	8562
3-516E	9C5D
3-5174	9DB8
3-5177	837D
3-517B	9DB9
3-5224	9DBD
3-5225	8D41
3-5227	9C6B
3-5228	9E66
3-522A	9DC4
3-522F	9DC6
3-5230	9DCA
3-5231	9DCE
3-5232	9DCD
3-5237	8AAA
3-5238	89ED
3-523C	9DD3
3-5244	9D62
3-5247	9D61
3-5249	83A2
3-524A	9DDA
3-524C	89C6
3-524F	9DEC
3-5251	9DED
3-5252	9DE4
3-5256	9DE0
3-5257	9DEA
3-5258	9DDE
3-5259	9DDD
3-525F	886F
3-5263	84BF
3-5265	88E9
3-5269	9DFB
3-526B	9DF9
3-5271	8862
3-5273	9DFD
3-5324	9E43
3-5326	8CF8
3-532B	88A6
3-532D	9E45
3-5331	9E47
3-5332	9E54
3-5333	9E55
3-5334	83A4
3-5338	9EFC
3-5339	89E6
3-533D	8872
3-533E	9E5C
3-5340	8459
3-5343	9E5E
3-534B	83A5
3-534C	9E60
3-534E	9E5F
3-534F	9E62
3-5353	83A6
3-535A	83A7
3-535D	8CBA
3-5365	9E68
3-5368	8BDB
3-5369	9E6C
3-5370	886A
3-5371	9E6A
3-5374	8860
3-5378	83A8
3-537A	88F9
3-5425	9E6E
3-542D	81B9
3-542E	9E73
3-5430	81DA
3-5433	83A9
3-5436	8870
3-543A	9E74
3-543B	9E75
3-5441	9E77
3-544C	9E78
3-5450	885F
3-5456	9E7D
3-545A	8866
3-545E	8A72
3-5467	9EA5
3-5469	88AC
3-546C	8874
3-5471	88B2
3-5475	9EAA
3-547B	8C78
3-547C	9EB0
3-547E	9EAB
3-5524	8CC8
3-5525	86F3
3-5527	8A67
3-552B	9EB1
3-552F	9EBB
3-5532	9EBC
3-5535	9EB4
3-5536	98CE
3-5539	9EB5
3-5540	9EBE
3-5541	9EC1
3-5542	83AC
3-5544	9EC5
3-554B	9ECC
3-554C	9ECB
3-5552	83AD
3-5556	837C
3-5557	9ED0
3-555D	88F6
3-5562	9ED6
3-5563	9DC5
3-5564	9ED8
3-5568	9E7B
3-5569	9EDB
3-556A	9EDA
3-557D	9EE2
3-557E	8AB6
3-5623	8CF9
3-5628	9DE8
3-562D	9EE5
3-562E	886B
3-5632	896E
3-5634	9EEE
3-5636	89F8
3-563B	9EEA
3-5642	8548
3-5643	88E6
3-5647	9EF5
3-564A	9EF2
3-564D	89C2
3-5652	9EF6
3-565A	8944
3-565C	9F51
3-565E	9F45
3-565F	9F46
3-5660	9F55
3-5661	9EFE
3-5662	88B8
3-5663	88B5
3-5664	9F4D
3-5665	9EFB
3-5667	9F41
3-5668	9F48
3-5669	9F57
3-566B	9F4A
3-5670	8C44
3-5675	83B1
3-567B	9F5F
3-572A	9F61
3-572B	9F5D
3-5731	83B2
3-5739	9F62
3-573C	9F63
3-5740	9F66
3-5744	9F65
3-574A	9F6A
3-574D	8C69
3-5750	9F6C
3-5752	9F6E
3-5754	8BD4
3-5755	8576
3-5758	83B3
3-5759	9F70
3-575A	9F71
3-5762	88C2
3-5763	9F73
3-5769	83F9
3-576D	9EA4
3-576E	86EB
3-5773	83B4
3-5774	9F7B
3-5778	9F7E
3-5779	9FAA
3-577A	8C77
3-577B	FEAA
3-577E	83B5
3-5821	9F7A
3-5822	9F78
3-5823	FDE9
3-5825	9FA1
3-5827	9FA4
3-582A	8CAF
3-582B	83B6
3-582D	9FAC
3-582E	9FAB
3-582F	9FAE
3-5834	8560
3-5836	88AE
3-583B	855C
3-583F	9FB7
3-5840	9FB3
3-5844	9FB4
3-5845	9FB8
3-5851	FEB5
3-5853	8D68
3-5854	9FBE
3-5856	9FC4
3-5857	9FC2
3-585C	9FC6
3-585D	9FC7
3-5862	9FC8
3-5865	9FC9
3-5869	9FD4
3-586C	88C1
3-586E	83AF
3-586F	A07A
3-5874	9FD5
3-5878	83B8
3-587C	8AF3
3-5926	86CB
3-592A	8CC7
3-5931	88C5
3-5932	9FDA
3-5937	9FDC
3-5938	9FDE
3-5939	9FDF
3-593E	85A3
3-5940	9FE8
3-5942	9FEB
3-5945	9FE3
3-5948	88C9
3-5949	9FE1
3-594F	84AF
3-5958	88C3
3-5959	83BA
3-5962	83BB
3-5963	84C8
3-5965	9FF3
3-5966	9FF2
3-5969	8ABB
3-596B	9FF5
3-596D	9FF6
3-596F	9FF8
3-5974	9FFA
3-597B	8BDE
3-5A22	9FFB
3-5A24	9FFC
3-5A26	FE67
3-5A29	8541
3-5A2B	A040
3-5A2C	83BE
3-5A2E	A049
3-5A2F	A047
3-5A31	8ABE
3-5A35	85D9
3-5A36	84B4
3-5A38	83BF
3-5A39	A0C6
3-5A3A	88CF
3-5A3E	89AD
3-5A40	A054
3-5A44	88CD
3-5A49	9F7C
3-5A4A	88D5
3-5A51	83C0
3-5A52	A059
3-5A55	8AAB
3-5A57	A05F
3-5A58	A05E
3-5A5C	A0DB
3-5A5D	A061
3-5A5E	A066
3-5A60	A067
3-5A65	A06C
3-5A6A	A071
3-5A6B	894A
3-5A6D	A072
3-5A6E	A06D
3-5A71	A077
3-5A72	A076
3-5A73	83C2
3-5A74	A075
3-5A79	A079
3-5A7A	83C3
3-5A7C	8241
3-5A7E	8BAA
3-5B29	A0A1
3-5B2B	9FD6
3-5B2F	A0A3
3-5B32	8DDF
3-5B36	8AF5
3-5B3C	83C4
3-5B41	85AB
3-5B42	A0B6
3-5B43	A0AC
3-5B45	A0B0
3-5B47	A0B3
3-5B48	A0AF
3-5B49	86BD
3-5B4A	856E
3-5B4C	83EF
3-5B4D	A0A8
3-5B4F	A0AE
3-5B5F	A0B9
3-5B68	A0BA
3-5B69	88E0
3-5B6E	83C5
3-5B71	A0BB
3-5B75	83C7
3-5B7A	A0BC
3-5B7B	A0BE
3-5C23	88D6
3-5C25	83C8
3-5C26	A0BF
3-5C27	8DAD
3-5C29	A0C0
3-5C2D	83C9
3-5C30	A0C1
3-5C33	A0C2
3-5C39	A0C4
3-5C3A	9E7A
3-5C41	A0C9
3-5C44	A0ED
3-5C45	A0CD
3-5C48	A0D0
3-5C50	A05D
3-5C51	83EE
3-5C53	A0D4
3-5C56	A0D6
3-5C57	A0D2
3-5C59	A0D5
3-5C5A	8ACB
3-5C5B	8D79
3-5C5C	FEAF
3-5C5D	A0DA
3-5C5E	A0D7
3-5C5F	A0D9
3-5C6A	83CB
3-5C6B	8B48
3-5C6C	A0E6
3-5C6D	A0E7
3-5C70	A0E8
3-5C73	90DD
3-5C77	A0EA
3-5C78	A0E9
3-5C7B	A0EB
3-5C7C	A0EC
3-5C7E	8B76
3-5D21	A0EE
3-5D22	FE70
3-5D2B	8A54
3-5D2E	A0F1
3-5D30	A0F0
3-5D33	83CA
3-5D34	A0F2
3-5D35	8B4D
3-5D38	A0F3
3-5D3B	8C41
3-5D3D	A0FE
3-5D3E	A0FC
3-5D41	83CC
3-5D45	A0F8
3-5D46	A0F6
3-5D47	83CD
3-5D4C	8146
3-5D4D	8148
3-5D4E	8147
3-5D4F	8145
3-5D51	8149
3-5D56	814A
3-5D57	81AF
3-5D58	81AE
3-5D5A	814C
3-5D5F	814D
3-5D62	814E
3-5D64	FE47
3-5D66	8152
3-5D6E	814F
3-5D6F	83CE
3-5D70	8154
3-5D71	8153
3-5D72	8151
3-5D73	81B6
3-5D75	8155
3-5D76	8150
3-5D7A	8156
3-5E22	815A
3-5E29	815D
3-5E2A	8CA6
3-5E2C	815E
3-5E31	A051
3-5E33	89D3
3-5E36	8C64
3-5E3A	86FD
3-5E3B	8165
3-5E3C	8163
3-5E3F	83D0
3-5E44	85F7
3-5E45	816A
3-5E47	816C
3-5E48	816E
3-5E49	816D
3-5E4A	85F2
3-5E51	8DB8
3-5E52	8172
3-5E54	89C3
3-5E57	8169
3-5E59	8177
3-5E5C	83D1
3-5E65	817B
3-5E66	817A
3-5E69	81A7
3-5E6A	83D2
3-5E6B	8142
3-5E6E	8642
3-5E6F	81A6
3-5E70	81A8
3-5E72	81A9
3-5E74	8A75
3-5E75	81AB
3-5E76	85FB
3-5E79	81AC
3-5E7A	8166
3-5E7B	8AC1
3-5E7C	81AD
3-5F21	85F1
3-5F24	81B1
3-5F25	81B2
3-5F2A	81B3
3-5F35	85ED
3-5F36	81B8
3-5F3A	81DB
3-5F3E	8540
3-5F41	81BA
3-5F45	81BD
3-5F52	8B5C
3-5F53	83D6
3-5F57	8AB1
3-5F59	81C2
3-5F5B	81C3
3-5F62	81C7
3-5F63	81C9
3-5F69	81A5
3-5F6A	81CF
3-5F6C	81CD
3-5F6E	81D0
3-5F6F	83D8
3-5F70	8C51
3-5F72	89C0
3-5F78	83E0
3-6021	8C55
3-6022	83D9
3-6023	81D8
3-6025	81D6
3-6027	8579
3-602B	8277
3-602E	83DA
3-602F	81E8
3-6030	81DD
3-6036	81E0
3-603A	81E3
3-603E	81E7
3-603F	8A7C
3-6040	FE51
3-6041	85F5
3-6046	83DE
3-604E	8247
3-604F	81EA
3-6050	81F1
3-6054	81CC
3-6056	81F0
3-6057	8BF4
3-6059	8DF7
3-605D	83DF
3-605E	81F2
3-6060	81F3
3-6061	81F6
3-6063	83E1
3-606D	FE6F
3-6071	8D7D
3-6072	8646
3-6073	81FB
3-607B	8243
3-607E	8DB1
3-6122	8246
3-6128	8545
3-612E	824A
3-6131	824C
3-6132	83E2
3-613C	86B8
3-613E	8647
3-6141	824F
3-6143	8251
3-6144	8253
3-6146	8254
3-614A	8256
3-614D	8257
3-6154	8644
3-615F	825B
3-6161	8CAC
3-6164	825C
3-6169	825D
3-6173	8261
3-6177	8262
3-6178	8649
3-6179	83FA
3-617A	8263
3-617B	FE4D
3-617C	8264
3-617E	8D58
3-6223	8265
3-622A	8268
3-622F	8269
3-6230	826A
3-6231	8543
3-6232	8CF1
3-6236	845E
3-6238	826C
3-6241	8275
3-6245	FEBA
3-654B	85CF
4-2124	FEDE
4-213C	8B64
4-215A	FEF2
4-215D	8DA3
4-215E	88FD
4-2160	FEF9
4-2163	866A
4-216F	8C5B
4-2231	8670
4-2234	FE5D
4-2248	85D3
4-2260	8E7D
4-226C	FDF9
4-2271	8EA3
4-232D	8DE6
4-235D	88DE
4-2431	8679
4-243B	86A2
4-2447	86A4
4-2453	88AF
4-2471	8ED4
4-2541	83ED
4-255C	8FDF
4-256C	8FD8
4-2577	91FD
4-2655	85B7
4-2723	8D67
4-2777	83E7
4-2941	917D
4-294B	8ADD
4-2A40	91B0
4-2A63	8470
4-2A69	846E
4-2A6E	91DB
4-2B27	9162
4-2B38	9279
4-2B5E	FEA2
4-2C40	FE7B
4-2C5F	8BCE
4-2C73	966D
4-2D34	82C1
4-2D4C	FDF5
4-2D5A	844D
4-2E59	93C3
4-2E64	84CC
4-2E7A	93E1
4-2F5D	927A
4-3050	8565
4-306A	855D
4-3075	9469
4-312D	8BD0
4-314D	9E7E
4-3152	88E7
4-3160	8662
4-3170	FDE8
4-323B	8749
4-3259	8C6B
4-326D	94F5
4-3275	94FE
4-3276	95C0
4-3322	9546
4-333C	8A77
4-346C	8B72
4-3568	9B5F
4-3625	8448
4-366B	8A48
4-3730	94AD
4-373C	8779
4-3822	88DF
4-3823	82E0
4-382B	96D3
4-3852	85D5
4-3957	976E
4-3A32	97B0
4-3A4D	85CC
4-3A61	844A
4-3B2F	97DD
4-3B7A	8BA5
4-3C32	8B73
4-3E67	83E8
4-3F4B	87BE
4-405B	FEA1
4-413B	95DB
4-4140	87C1
4-4173	99E7
4-422D	FE7E
4-4328	87D1
4-4335	9A52
4-435D	9A64
4-437C	FE53
4-437D	FE52
4-4437	9A7E
4-447B	855A
4-4546	89EB
4-4555	9ADA
4-4649	87CF
4-4876	87A3
4-4978	8556
4-4A53	9BF1
4-4A65	884A
4-4B62	8DB0
4-4C42	85D6
4-4C6D	8B46
4-4E4C	8C45
4-4E5A	8844
4-4E5D	83FE
4-4F3F	8845
4-4F64	FE44
4-4F7A	8869
4-4F7E	FE7A
4-5029	8B66
4-5032	9D4E
4-5064	8846
4-507B	8841
4-5238	8471
4-5263	9BE0
4-5276	84A4
4-527B	8AB3
4-527E	8D65
4-532C	9DEE
4-5457	9E61
4-5471	9E67
4-5528	83E9
4-554F	9DC1
4-5561	81BC
4-5721	8558
4-5A25	9F58
4-5A7E	9E7C
4-5B35	88CE
4-5B54	8CE6
4-5C62	8A4B
4-5D79	9FDD
4-5E38	9F5B
4-5F21	9F67
4-5F3E	8C6A
4-5F54	A04B
4-5F6D	A055
4-6152	9FDB
4-616B	A0AB
4-626C	8DA9
4-6343	83F8
4-634C	83CF
4-643E	A0C5
4-646A	8AB2
4-652D	89AB
4-653A	814B
4-6547	85E0
4-6569	8AE2
4-665B	88DD
4-6769	81AA
4-683E	8173
4-6843	83F7
4-695A	81D4
4-696C	8276
4-6A4F	83D4
4-6C30	8278
4-6D68	8279
4-6E55	89C8
4-6E5B	827A
5-2135	FEE7
5-2168	8665
5-2273	8EA9
5-2348	86A8
5-2C38	92C7
5-2D4C	92FD
5-2D7E	8C7D
5-3447	856C
5-3641	8742
5-3C58	8753
5-4125	86BE
5-4131	8A69
5-4546	8CFA
5-4776	89FC
5-5033	8DEE
5-524F	89C7
5-5261	83EC
5-555E	87FC
5-5642	85D8
5-5830	85D0
5-6062	8477
5-6950	8878
5-6C6F	865A
5-7B7B	83E5
6-2541	88F8
6-2628	8EBF
6-272E	88E8
6-2C26	8AD0
6-2F40	8975
6-3129	FDF7
6-3456	84D1
6-3470	84D6
6-3934	85B6
6-3A2D	84B0
6-402A	94C8
6-473C	89C4
6-4C2F	8B5E
6-4E7A	FDFB
6-5577	8DA8
6-5E31	FE77
6-624C	866C
7-233B	84C4
7-3F6A	8455
7-4565	8A74
7-4754	83FC
7-5025	8A60
7-5A2D	8BD2
10-216E	866E
10-2277	8E56
10-2358	92B9
10-245F	8CD0
10-2462	85A4
10-2464	86B3
10-2634	88D2
10-2647	8D6F
10-2834	8F7B
10-286E	95F3
10-2A23	8568
10-2A66	8EDD
10-2B2C	85C1
10-2B5B	84F3
10-2C28	946D
10-2D5E	9859
10-2E36	99F8
10-2F22	8947
10-305C	81FA
10-3224	8CC6
10-3234	92CB
10-332A	8FE6
10-333D	92D3
10-3346	8BD9
10-336F	88EF
10-3378	9649
10-3479	86BF
10-3726	8EEF
10-372C	8FF2
10-3732	9166
10-3759	875A
10-3765	986B
10-3942	8FF7
10-3953	8BCD
10-3963	9761
10-3B40	8FC8
10-3B62	8CA5
10-3C56	8F40
10-3C79	8DD2
10-3D26	92EA
10-3D3A	94AE
10-3D4B	94B0
10-3D70	85DB
10-3E4D	A0C7
10-3E5E	9F72
10-3F73	87A1
10-407A	9871
10-4171	9048
10-4264	94B8
10-4374	92FA
10-4453	86ED
10-4471	8AD9
10-447D	8BE5
10-452E	9D54
10-4541	9BD4
10-454C	8BE7
10-4735	8F51
10-473C	8F50
10-4740	8F54
10-4863	96A3
10-4870	8B51
10-4874	94C5
10-4A4C	87EB
10-4B31	85FE
10-4B31	8AED
10-4D27	91A7
10-4D31	96A8
10-4D51	91A9
10-4D63	88ED
10-4E2D	96AC
10-4E72	9D5F
10-4E74	9EA9
10-503F	91B9
10-5052	9358
10-5069	94E0
10-5128	96D2
10-5130	98C2
10-513A	98BB
10-5143	98BF
10-5159	9A6F
10-515B	87EC
10-5163	9A6C
10-5234	8DDA
10-5271	A057
10-537A	844C
10-5550	8C63
10-5639	96DD
10-5641	8E4B
10-5668	91D6
10-566A	8D5B
10-5733	94E8
10-5739	936C
10-5748	94EF
10-575D	8B4C
10-575E	8A62
10-5829	8CD5
10-5841	9AA3
10-5864	FE50
10-5870	844E
10-5923	9BFC
10-5935	9D7D
10-5938	9C41
10-596D	88CB
10-5973	A05C
10-5A2D	A0D1
10-5A53	8250
10-5A54	8654
10-5A61	90AB
10-5A62	90AD
10-5A65	90AA
10-5A72	91DD
10-5A74	91DC
10-5B21	93A4
10-5B29	93A7
10-5B32	8DEF
10-5B4C	8D63
10-5B5E	96F9
10-5B71	87A7
10-5C3B	9C46
10-5C64	9DA8
10-5C7B	9FAD
10-605F	837B
10-607B	86B4
10-612A	91F2
10-6130	91EC
10-6135	93AC
10-6136	93B1
10-6138	93B5
10-6141	9550
10-6153	9752
10-6155	9757
10-615F	98F1
10-6165	98EE
10-616F	9AC8
10-6171	9ABE
10-6174	9ACB
10-6178	9C5A
10-617A	9C53
10-617E	8366
10-6221	9C58
10-6227	9C5B
10-6233	9EC8
10-6234	8AC9
10-627C	9ACD
10-633D	9554
10-666B	9C61
10-666C	8C58
10-6852	9945
10-6944	9ED2
10-6964	A068
10-6B37	9769
10-6B3A	955F
10-6B57	9AD7
10-6B64	9DC0
10-6B67	9DBB
10-6B6D	9ED4
10-6B6F	8941
10-6C45	8945
10-6C47	90C9
10-6C5A	8AF0
10-6C5B	8457
10-6C61	89DA
10-6C7A	8449
10-6D32	9ADD
10-6D40	9C6E
10-6D4A	9ED7
10-6D6D	9256
10-6E45	8AC0
10-6E60	9C71
10-6F76	8BFB
10-7128	89D6
10-7150	9AEA
10-7160	FEA6
10-7163	9DCC
10-717E	9FBD
10-7231	FE5A
10-7278	9575
10-7326	84A1
10-7336	FDE6
10-733F	9AEC
10-7448	996B
10-7476	9DD2
10-7721	9AB5
10-7754	9F6F
10-786D	84CD
10-7961	9B40
10-7A42	9EE4
10-7B40	88C4
10-7B77	8B57
10-7C32	8BDF
10-7C50	8463
10-7C67	8D66
10-7C6A	97CB
10-7D42	9B4E
10-7D4A	9B48
10-7D57	9DE2
10-7D5E	9CAF
10-7E26	9DDC
10-7E2F	8AC3
10-7E32	FEB7
10-7E53	89FB
11-215A	9DEF
11-222B	97D2
11-243E	9445
11-2442	9442
11-2444	9444
11-2445	85AE
11-2446	9443
11-2460	9954
11-2470	9DF6
11-2526	9EF1
11-252B	88A8
11-265B	875C
11-2668	99BC
11-267E	9EF4
11-273A	8AD2
11-2765	85FD
11-2942	9B60
11-2E25	89F5
11-2E2A	944D
11-2E58	8B42
11-2F2E	9EF8
11-2F42	A0F4
11-2F6E	87FA
11-313F	944F
11-3142	95E1
11-3144	95DD
11-3153	99D4
11-315E	88EA
11-3166	8AB4
11-317E	88E2
11-3222	88A4
11-3231	9E5B
11-323D	8AAC
11-323E	9F44
11-3241	9F54
11-3243	9F50
11-3246	9FE5
11-3263	84AD
11-3271	9FEA
11-3278	9FE9
11-3323	88D0
11-3325	FE4F
11-3326	A0B1
11-333D	8143
11-333F	8BC4
11-3357	89DF
11-3432	81A3
11-3432	8C50
11-3438	8245
11-3452	8270
11-362C	FE48
11-363A	9FEE
11-3673	95E7
11-3675	95E5
11-3840	89E7
11-3D6B	8D6D
11-3E57	86FC
11-4133	83FB
11-4139	8857
11-4140	887E
11-426F	824B
11-4437	8157
11-493C	9849
11-4947	FE6E
11-4950	9463
11-496E	8FE0
11-4971	8FD6
11-4975	FDE5
11-497A	FEDD
11-497E	89BA
11-4A21	FE56
11-4A24	9862
11-4A25	8667
11-4A27	846D
11-4A40	9E51
11-4A43	86EF
11-4A48	96C1
11-4A59	FEB3
11-4A71	96E5
11-4A7A	96BD
11-4B21	FEB2
11-4B23	8578
11-4B28	9EB6
11-4B2D	FE49
11-4B2E	8EBE
11-4B30	81D3
11-4B34	FED2
11-4B37	8555
11-4B3F	8A6B
11-4B46	8575
11-4B51	A0CE
11-4B5B	9EAD
11-4B63	98C1
11-4B65	9A71
11-4B75	8A64
11-4B76	8561
11-4C26	8552
11-4C2D	9C59
11-4C31	9ECA
11-4C33	8458
11-4C3F	975D
11-4C54	8465
11-4C67	8451
11-4C6B	955A
11-4C71	FECC
11-4C77	816B
11-4C7D	83F0
11-4D2D	FE72
11-4D2E	93D3
11-4D30	86DF
11-4D31	8A47
11-4D32	FDD0
11-4D33	9C75
11-4D46	95A2
11-4D68	9FE7
11-4D6A	9E4F
11-4D70	9FE6
11-4D76	854F
11-4D7C	89F0
11-4E25	9F5A
11-4E2A	89EC
11-4E46	81F8
11-4F53	89E0
11-4F62	8E47
11-4F69	8C52
11-4F71	85B8
11-502A	9D66
11-5031	8CB9
11-5046	84EB
11-5047	84DF
11-5049	87AC
11-504E	8658
11-5050	8EEB
11-5051	8854
11-5052	88A3
11-5053	84DB
11-5059	876C
11-505B	864F
11-505C	84F9
11-505F	85DA
11-5060	86A1
11-5061	85BF
11-5065	8840
11-5067	86A5
11-506A	85B5
11-506B	8848
11-506C	884C
11-506D	84F4
11-5070	8760
11-5071	877B
11-5074	88B4
11-5075	88B6
11-5076	84D5
11-5077	8EB3
11-5078	8771
11-507A	84CE
11-507D	8660
11-5121	887D
11-5123	9C79
11-5124	85E2
11-5126	88A1
11-5127	8741
11-5129	8258
11-512A	8758
11-512B	87F0
11-512D	85E9
11-5131	85F8
11-5132	87DF
11-5258	9BFD
11-527C	8EAC
11-527D	8D73
11-5326	A0CF
11-535A	8CDB
11-5560	88DB
11-5572	9FB2
11-5662	94A4
11-574F	9FB1
11-5830	FEF5
11-583C	8A5A
11-5960	984F
11-596F	964E
11-5976	9651
11-5A6B	99B7
11-5A78	9FD9
11-5A79	89F6
11-5B72	90BA
11-5C43	FEF3
11-5C51	95F4
11-5C58	A048
11-5D37	96E3
11-5D38	9EC7
11-5D44	905C
11-5D49	9071
11-5D56	91C4
11-5D6E	86E2
11-5D70	8C67
11-5F66	8C76
11-616C	91E6
11-624E	8A53
11-6332	95CF
11-6356	9841
11-6651	9574
11-674B	84A3
11-694E	98C8
11-695A	8B6D
11-695F	9272
11-696A	A06A
11-6A2B	9E58
11-6A51	92B3
11-6C36	8FD3
11-6D69	8BA9
11-6F6B	8CE1
11-6F72	94DB
11-6F7B	9A4D
11-6F7D	9545
11-704D	9DA3
11-704E	845A
11-7054	8778
11-705C	8FD0
11-7070	874F
11-7074	84E5
11-707A	92F6
11-7121	87FE
11-7122	85FA
11-712E	85EC
11-714C	9AA9
11-7154	8F70
11-723D	895F
12-2178	FE78
12-222A	FEE8
12-224E	866B
12-2268	8678
12-2463	8E5B
12-2528	8E65
12-2529	8D70
12-252B	8D46
12-252D	8E68
12-253E	8E4F
12-2561	8677
12-2577	8E75
12-2578	8E74
12-266C	8EA7
12-2733	8EB0
12-2746	8EB5
12-2777	8EC2
12-2778	8FBF
12-2837	8EC3
12-2855	8FA8
12-2860	89AE
12-2861	8ECC
12-2863	86A3
12-293B	8ED6
12-2A32	8EF0
12-2A5B	8BB7
12-2A7C	8F41
12-2B3F	9045
12-2B4F	86A6
12-2B50	82A6
12-2B54	904B
12-2B75	867A
12-2C3C	8F5E
12-2C53	8F6D
12-2C6A	8EDA
12-2C7C	8AF4
12-2D21	8F74
12-2D22	8F77
12-2D2C	8A56
12-2D3C	8FAA
12-2D3F	894E
12-2D61	8FB3
12-2D6F	8959
12-2D76	85B9
12-2E40	8FC5
12-2E46	8FB6
12-2F24	FECD
12-2F42	89BB
12-2F4E	85BA
12-3135	8FFC
12-3136	8FFE
12-313F	8FF9
12-3144	864C
12-3161	9049
12-3164	89AF
12-3170	8F4B
12-3171	86AA
12-3231	9056
12-3254	905A
12-3267	9060
12-326B	905E
12-326C	9245
12-3327	9064
12-3337	8A68
12-3339	FED3
12-333E	8BC8
12-3349	9067
12-3366	905B
12-336D	907C
12-3439	8D5A
12-343B	8BC3
12-344C	91F7
12-3454	8C5D
12-3458	90B3
12-345D	86BA
12-3460	90BC
12-3461	90B7
12-3463	90BB
